ZIP,"Latitude","Longitude","Accuracy Score","Accuracy Type","Address Line 1","Address Line 2","Address Line 3","House Number","Street","Unit Type","Unit Number","City","State","County","Postal Code","Country","Source"
59716-1000,45.28465,-111.36829,1,place,,,"Big Sky, MT 59716",,,,,"Big Sky",MT,"Gallatin County",59716,US,"TIGER/Line® dataset from the US Census Bureau"
59716-1725,45.28465,-111.36829,1,place,,,"Big Sky, MT 59716",,,,,"Big Sky",MT,"Gallatin County",59716,US,"TIGER/Line® dataset from the US Census Bureau"
59718,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-2084,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-2447,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-2724,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-2818,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-2859,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-4117,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-4836,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-5837,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-6113,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-6131,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-6167,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-6192,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
59718-6619,45.66812,-111.240393,1,place,,,"Bozeman, MT 59718",,,,,Bozeman,MT,"Gallatin County",59718,US,"TIGER/Line® dataset from the US Census Bureau"
